MFCC_N,K_N,TEST_SIZE,RANDOM_STATE,ACCURACY
2,4,0.3,0,0.48
2,4,0.3,42,0.45666666666666667
2,4,0.3,99,0.47333333333333333
2,4,0.4,0,0.485
2,4,0.4,42,0.465
2,4,0.4,99,0.4975
2,5,0.1,0,0.51
2,5,0.1,42,0.48
2,5,0.1,99,0.53
2,5,0.2,0,0.48
2,5,0.2,42,0.485
2,5,0.2,99,0.51
2,5,0.3,0,0.49333333333333335
2,5,0.3,42,0.4666666666666667
2,5,0.3,99,0.4766666666666667
2,5,0.4,0,0.4975
2,5,0.4,42,0.4825
2,5,0.4,99,0.4975
2,6,0.1,0,0.5
2,6,0.1,42,0.46
2,6,0.1,99,0.56
2,6,0.2,0,0.5
2,6,0.2,42,0.475
2,6,0.2,99,0.545
2,6,0.3,0,0.48333333333333334
2,6,0.3,42,0.49
2,6,0.3,99,0.5033333333333333
2,6,0.4,0,0.49
2,6,0.4,42,0.49
2,6,0.4,99,0.5175
2,7,0.1,0,0.51
2,7,0.1,42,0.48
2,7,0.1,99,0.57
2,7,0.2,0,0.48
2,7,0.2,42,0.48
2,7,0.2,99,0.55
2,7,0.3,0,0.49666666666666665
2,7,0.3,42,0.5
2,7,0.3,99,0.5066666666666667
2,7,0.4,0,0.5
2,7,0.4,42,0.4975
2,7,0.4,99,0.5125
2,8,0.1,0,0.53
2,8,0.1,42,0.5
2,8,0.1,99,0.6
2,8,0.2,0,0.49
2,8,0.2,42,0.485
2,8,0.2,99,0.525
2,8,0.3,0,0.5
2,8,0.3,42,0.48
2,8,0.3,99,0.5033333333333333
2,8,0.4,0,0.51
2,8,0.4,42,0.5075
2,8,0.4,99,0.5175
2,9,0.1,0,0.52
2,9,0.1,42,0.52
2,9,0.1,99,0.57
2,9,0.2,0,0.5
2,9,0.2,42,0.515
2,9,0.2,99,0.56
2,9,0.3,0,0.49666666666666665
2,9,0.3,42,0.49333333333333335
2,9,0.3,99,0.5133333333333333
2,9,0.4,0,0.4925
2,9,0.4,42,0.5075
2,9,0.4,99,0.515
2,10,0.1,0,0.55
2,10,0.1,42,0.54
2,10,0.1,99,0.53
2,10,0.2,0,0.52
2,10,0.2,42,0.505
2,10,0.2,99,0.555
2,10,0.3,0,0.5033333333333333
2,10,0.3,42,0.48333333333333334
2,10,0.3,99,0.54
2,10,0.4,0,0.4675
2,10,0.4,42,0.5125
2,10,0.4,99,0.5125
2,11,0.1,0,0.57
2,11,0.1,42,0.54
2,11,0.1,99,0.55
2,11,0.2,0,0.51
2,11,0.2,42,0.51
2,11,0.2,99,0.56
2,11,0.3,0,0.5033333333333333
2,11,0.3,42,0.49
2,11,0.3,99,0.5166666666666667
2,11,0.4,0,0.4925
2,11,0.4,42,0.505
2,11,0.4,99,0.5075
2,12,0.1,0,0.57
2,12,0.1,42,0.54
2,12,0.1,99,0.54
2,12,0.2,0,0.49
2,12,0.2,42,0.495
2,12,0.2,99,0.565
2,12,0.3,0,0.48
2,12,0.3,42,0.49666666666666665
2,12,0.3,99,0.51
2,12,0.4,0,0.485
2,12,0.4,42,0.4975
2,12,0.4,99,0.5025
2,13,0.1,0,0.57
2,13,0.1,42,0.56
2,13,0.1,99,0.55
2,13,0.2,0,0.495
2,13,0.2,42,0.51
2,13,0.2,99,0.56
2,13,0.3,0,0.49
2,13,0.3,42,0.49333333333333335
2,13,0.3,99,0.48333333333333334
2,13,0.4,0,0.4825
2,13,0.4,42,0.5
2,13,0.4,99,0.4825
2,14,0.1,0,0.55
2,14,0.1,42,0.54
2,14,0.1,99,0.53
2,14,0.2,0,0.515
2,14,0.2,42,0.52
2,14,0.2,99,0.55
2,14,0.3,0,0.48
2,14,0.3,42,0.49
2,14,0.3,99,0.48
2,14,0.4,0,0.48
2,14,0.4,42,0.495
2,14,0.4,99,0.485
2,15,0.1,0,0.53
2,15,0.1,42,0.54
2,15,0.1,99,0.52
2,15,0.2,0,0.505
2,15,0.2,42,0.5
2,15,0.2,99,0.54
2,15,0.3,0,0.49
2,15,0.3,42,0.49
2,15,0.3,99,0.4666666666666667
2,15,0.4,0,0.4775
2,15,0.4,42,0.47
2,15,0.4,99,0.4825
2,16,0.1,0,0.53
2,16,0.1,42,0.53
2,16,0.1,99,0.53
2,16,0.2,0,0.5
2,16,0.2,42,0.485
2,16,0.2,99,0.535
2,16,0.3,0,0.48
2,16,0.3,42,0.4766666666666667
2,16,0.3,99,0.47
2,16,0.4,0,0.475
2,16,0.4,42,0.48
2,16,0.4,99,0.4875
2,17,0.1,0,0.52
2,17,0.1,42,0.53
2,17,0.1,99,0.53
2,17,0.2,0,0.495
2,17,0.2,42,0.485
2,17,0.2,99,0.525
2,17,0.3,0,0.4766666666666667
2,17,0.3,42,0.45
2,17,0.3,99,0.47
2,17,0.4,0,0.475
2,17,0.4,42,0.4925
2,17,0.4,99,0.5025
2,18,0.1,0,0.49
2,18,0.1,42,0.51
2,18,0.1,99,0.53
2,18,0.2,0,0.47
2,18,0.2,42,0.47
2,18,0.2,99,0.5
2,18,0.3,0,0.4766666666666667
2,18,0.3,42,0.47
2,18,0.3,99,0.4633333333333333
2,18,0.4,0,0.485
2,18,0.4,42,0.47
2,18,0.4,99,0.5025
2,19,0.1,0,0.48
2,19,0.1,42,0.51
2,19,0.1,99,0.5
2,19,0.2,0,0.47
2,19,0.2,42,0.475
2,19,0.2,99,0.515
2,19,0.3,0,0.4866666666666667
2,19,0.3,42,0.4766666666666667
2,19,0.3,99,0.4766666666666667
2,19,0.4,0,0.4925
2,19,0.4,42,0.47
2,19,0.4,99,0.5025
2,20,0.1,0,0.47
2,20,0.1,42,0.5
2,20,0.1,99,0.5
2,20,0.2,0,0.495
2,20,0.2,42,0.475
2,20,0.2,99,0.51
2,20,0.3,0,0.5
2,20,0.3,42,0.48333333333333334
2,20,0.3,99,0.46
2,20,0.4,0,0.4725
2,20,0.4,42,0.4675
2,20,0.4,99,0.5075
2,21,0.1,0,0.49
2,21,0.1,42,0.49
2,21,0.1,99,0.49
2,21,0.2,0,0.485
2,21,0.2,42,0.47
2,21,0.2,99,0.48
2,21,0.3,0,0.5033333333333333
2,21,0.3,42,0.48333333333333334
2,21,0.3,99,0.4666666666666667
2,21,0.4,0,0.4625
2,21,0.4,42,0.485
2,21,0.4,99,0.505
2,22,0.1,0,0.48
2,22,0.1,42,0.49
2,22,0.1,99,0.48
2,22,0.2,0,0.505
2,22,0.2,42,0.475
2,22,0.2,99,0.485
2,22,0.3,0,0.48
2,22,0.3,42,0.49
2,22,0.3,99,0.4633333333333333
2,22,0.4,0,0.48
2,22,0.4,42,0.47
2,22,0.4,99,0.4975
2,23,0.1,0,0.48
2,23,0.1,42,0.51
2,23,0.1,99,0.49
2,23,0.2,0,0.5
2,23,0.2,42,0.47
2,23,0.2,99,0.49
2,23,0.3,0,0.48333333333333334
2,23,0.3,42,0.49
2,23,0.3,99,0.47
2,23,0.4,0,0.4825
2,23,0.4,42,0.485
2,23,0.4,99,0.4975
2,24,0.1,0,0.49
2,24,0.1,42,0.52
2,24,0.1,99,0.5
2,24,0.2,0,0.485
2,24,0.2,42,0.47
2,24,0.2,99,0.495
2,24,0.3,0,0.47
2,24,0.3,42,0.49
2,24,0.3,99,0.4666666666666667
2,24,0.4,0,0.4775
2,24,0.4,42,0.4725
2,24,0.4,99,0.4975
2,25,0.1,0,0.5
2,25,0.1,42,0.52
2,25,0.1,99,0.49
2,25,0.2,0,0.48
2,25,0.2,42,0.48
2,25,0.2,99,0.485
2,25,0.3,0,0.48
2,25,0.3,42,0.49
2,25,0.3,99,0.47333333333333333
2,25,0.4,0,0.4725
2,25,0.4,42,0.4825
2,25,0.4,99,0.5
2,26,0.1,0,0.5
2,26,0.1,42,0.52
2,26,0.1,99,0.48
2,26,0.2,0,0.46
2,26,0.2,42,0.48
2,26,0.2,99,0.495
2,26,0.3,0,0.47
2,26,0.3,42,0.49666666666666665
2,26,0.3,99,0.47333333333333333
2,26,0.4,0,0.4675
2,26,0.4,42,0.4775
2,26,0.4,99,0.505
2,27,0.1,0,0.49
2,27,0.1,42,0.52
2,27,0.1,99,0.46
2,27,0.2,0,0.465
2,27,0.2,42,0.48
2,27,0.2,99,0.5
2,27,0.3,0,0.47
2,27,0.3,42,0.48
2,27,0.3,99,0.4866666666666667
2,27,0.4,0,0.465
2,27,0.4,42,0.465
2,27,0.4,99,0.5125
2,28,0.1,0,0.46
2,28,0.1,42,0.52
2,28,0.1,99,0.48
2,28,0.2,0,0.48
2,28,0.2,42,0.485
2,28,0.2,99,0.495
2,28,0.3,0,0.45666666666666667
2,28,0.3,42,0.47
2,28,0.3,99,0.49
2,28,0.4,0,0.4725
2,28,0.4,42,0.4725
2,28,0.4,99,0.51
2,29,0.1,0,0.46
2,29,0.1,42,0.52
2,29,0.1,99,0.47
2,29,0.2,0,0.48
2,29,0.2,42,0.475
2,29,0.2,99,0.5
2,29,0.3,0,0.45
2,29,0.3,42,0.47333333333333333
2,29,0.3,99,0.49666666666666665
2,29,0.4,0,0.4775
2,29,0.4,42,0.475
2,29,0.4,99,0.5
2,30,0.1,0,0.47
2,30,0.1,42,0.51
2,30,0.1,99,0.47
2,30,0.2,0,0.47
2,30,0.2,42,0.46
2,30,0.2,99,0.505
2,30,0.3,0,0.46
2,30,0.3,42,0.49333333333333335
2,30,0.3,99,0.5033333333333333
2,30,0.4,0,0.4725
2,30,0.4,42,0.4775
2,30,0.4,99,0.51
3,1,0.1,0,0.51
3,1,0.1,42,0.46
3,1,0.1,99,0.48
3,1,0.2,0,0.465
3,1,0.2,42,0.465
3,1,0.2,99,0.495
3,1,0.3,0,0.48333333333333334
3,1,0.3,42,0.47333333333333333
3,1,0.3,99,0.48
3,1,0.4,0,0.4925
3,1,0.4,42,0.43
3,1,0.4,99,0.4975
3,2,0.1,0,0.47
3,2,0.1,42,0.45
3,2,0.1,99,0.51
3,2,0.2,0,0.435
3,2,0.2,42,0.415
3,2,0.2,99,0.48
3,2,0.3,0,0.4533333333333333
3,2,0.3,42,0.4166666666666667
3,2,0.3,99,0.4633333333333333
3,2,0.4,0,0.455
3,2,0.4,42,0.42
3,2,0.4,99,0.4825
3,3,0.1,0,0.48
3,3,0.1,42,0.47
3,3,0.1,99,0.52
3,3,0.2,0,0.45
3,3,0.2,42,0.465
3,3,0.2,99,0.485
3,3,0.3,0,0.46
3,3,0.3,42,0.43333333333333335
3,3,0.3,99,0.45666666666666667
3,3,0.4,0,0.4675
3,3,0.4,42,0.4475
3,3,0.4,99,0.47
3,4,0.1,0,0.49
3,4,0.1,42,0.49
3,4,0.1,99,0.48
3,4,0.2,0,0.48
3,4,0.2,42,0.47
3,4,0.2,99,0.515
3,4,0.3,0,0.46
3,4,0.3,42,0.4533333333333333
3,4,0.3,99,0.47
3,4,0.4,0,0.495
3,4,0.4,42,0.4575
3,4,0.4,99,0.475
3,5,0.1,0,0.49
3,5,0.1,42,0.53
3,5,0.1,99,0.51
3,5,0.2,0,0.475
3,5,0.2,42,0.49
3,5,0.2,99,0.515
3,5,0.3,0,0.47333333333333333
3,5,0.3,42,0.4666666666666667
3,5,0.3,99,0.48
3,5,0.4,0,0.5075
3,5,0.4,42,0.4775
3,5,0.4,99,0.47
