MFCC_N,K_N,TEST_SIZE,RANDOM_STATE,ACCURACY
2,23,0.3,0,0.55
2,23,0.3,42,0.5866666666666667
2,23,0.3,99,0.53
2,23,0.4,0,0.5475
2,23,0.4,42,0.5725
2,23,0.4,99,0.545
2,24,0.1,0,0.54
2,24,0.1,42,0.57
2,24,0.1,99,0.52
2,24,0.2,0,0.525
2,24,0.2,42,0.59
2,24,0.2,99,0.545
2,24,0.3,0,0.5366666666666666
2,24,0.3,42,0.5733333333333334
2,24,0.3,99,0.53
2,24,0.4,0,0.55
2,24,0.4,42,0.58
2,24,0.4,99,0.5475
2,25,0.1,0,0.54
2,25,0.1,42,0.6
2,25,0.1,99,0.52
2,25,0.2,0,0.525
2,25,0.2,42,0.595
2,25,0.2,99,0.55
2,25,0.3,0,0.5266666666666666
2,25,0.3,42,0.5633333333333334
2,25,0.3,99,0.5166666666666667
2,25,0.4,0,0.545
2,25,0.4,42,0.575
2,25,0.4,99,0.54
2,26,0.1,0,0.53
2,26,0.1,42,0.57
2,26,0.1,99,0.53
2,26,0.2,0,0.525
2,26,0.2,42,0.585
2,26,0.2,99,0.54
2,26,0.3,0,0.5433333333333333
2,26,0.3,42,0.5666666666666667
2,26,0.3,99,0.51
2,26,0.4,0,0.55
2,26,0.4,42,0.5575
2,26,0.4,99,0.545
2,27,0.1,0,0.52
2,27,0.1,42,0.56
2,27,0.1,99,0.54
2,27,0.2,0,0.52
2,27,0.2,42,0.605
2,27,0.2,99,0.55
2,27,0.3,0,0.5533333333333333
2,27,0.3,42,0.58
2,27,0.3,99,0.5033333333333333
2,27,0.4,0,0.545
2,27,0.4,42,0.555
2,27,0.4,99,0.535
2,28,0.1,0,0.52
2,28,0.1,42,0.58
2,28,0.1,99,0.54
2,28,0.2,0,0.53
2,28,0.2,42,0.61
2,28,0.2,99,0.545
2,28,0.3,0,0.5466666666666666
2,28,0.3,42,0.5733333333333334
2,28,0.3,99,0.51
2,28,0.4,0,0.5425
2,28,0.4,42,0.555
2,28,0.4,99,0.53
2,29,0.1,0,0.53
2,29,0.1,42,0.58
2,29,0.1,99,0.53
2,29,0.2,0,0.53
2,29,0.2,42,0.61
2,29,0.2,99,0.53
2,29,0.3,0,0.5333333333333333
2,29,0.3,42,0.5733333333333334
2,29,0.3,99,0.5066666666666667
2,29,0.4,0,0.5375
2,29,0.4,42,0.5475
2,29,0.4,99,0.535
2,30,0.1,0,0.51
2,30,0.1,42,0.6
2,30,0.1,99,0.53
2,30,0.2,0,0.525
2,30,0.2,42,0.595
2,30,0.2,99,0.535
2,30,0.3,0,0.5333333333333333
2,30,0.3,42,0.5666666666666667
2,30,0.3,99,0.5033333333333333
2,30,0.4,0,0.5325
2,30,0.4,42,0.555
2,30,0.4,99,0.5225
3,1,0.1,0,0.57
3,1,0.1,42,0.64
3,1,0.1,99,0.56
3,1,0.2,0,0.585
3,1,0.2,42,0.635
3,1,0.2,99,0.6
3,1,0.3,0,0.5933333333333334
3,1,0.3,42,0.6
3,1,0.3,99,0.6
3,1,0.4,0,0.5825
3,1,0.4,42,0.585
3,1,0.4,99,0.5825
3,2,0.1,0,0.59
3,2,0.1,42,0.55
3,2,0.1,99,0.52
3,2,0.2,0,0.52
3,2,0.2,42,0.545
3,2,0.2,99,0.58
3,2,0.3,0,0.56
3,2,0.3,42,0.54
3,2,0.3,99,0.54
3,2,0.4,0,0.5525
3,2,0.4,42,0.545
3,2,0.4,99,0.515
3,3,0.1,0,0.6
3,3,0.1,42,0.61
3,3,0.1,99,0.51
3,3,0.2,0,0.555
3,3,0.2,42,0.59
3,3,0.2,99,0.6
3,3,0.3,0,0.5633333333333334
3,3,0.3,42,0.5633333333333334
3,3,0.3,99,0.5466666666666666
3,3,0.4,0,0.57
3,3,0.4,42,0.545
3,3,0.4,99,0.5275
3,4,0.1,0,0.59
3,4,0.1,42,0.62
3,4,0.1,99,0.55
3,4,0.2,0,0.54
3,4,0.2,42,0.625
3,4,0.2,99,0.6
3,4,0.3,0,0.58
3,4,0.3,42,0.5833333333333334
3,4,0.3,99,0.55
3,4,0.4,0,0.5925
3,4,0.4,42,0.5625
3,4,0.4,99,0.5525
3,5,0.1,0,0.62
3,5,0.1,42,0.63
3,5,0.1,99,0.57
3,5,0.2,0,0.565
3,5,0.2,42,0.63
3,5,0.2,99,0.575
3,5,0.3,0,0.6166666666666667
3,5,0.3,42,0.6
3,5,0.3,99,0.55
3,5,0.4,0,0.6325
3,5,0.4,42,0.5675
3,5,0.4,99,0.5725
3,6,0.1,0,0.66
3,6,0.1,42,0.62
3,6,0.1,99,0.56
3,6,0.2,0,0.575
3,6,0.2,42,0.625
3,6,0.2,99,0.59
3,6,0.3,0,0.61
3,6,0.3,42,0.6133333333333333
3,6,0.3,99,0.56
3,6,0.4,0,0.6125
3,6,0.4,42,0.58
3,6,0.4,99,0.5625
3,7,0.1,0,0.63
3,7,0.1,42,0.61
3,7,0.1,99,0.54
3,7,0.2,0,0.585
3,7,0.2,42,0.625
3,7,0.2,99,0.59
3,7,0.3,0,0.5866666666666667
3,7,0.3,42,0.5833333333333334
3,7,0.3,99,0.5533333333333333
3,7,0.4,0,0.6075
3,7,0.4,42,0.6
3,7,0.4,99,0.5725
3,8,0.1,0,0.62
3,8,0.1,42,0.6
3,8,0.1,99,0.52
3,8,0.2,0,0.59
3,8,0.2,42,0.615
3,8,0.2,99,0.575
3,8,0.3,0,0.5866666666666667
3,8,0.3,42,0.5933333333333334
3,8,0.3,99,0.5466666666666666
3,8,0.4,0,0.5925
3,8,0.4,42,0.585
3,8,0.4,99,0.5825
3,9,0.1,0,0.62
3,9,0.1,42,0.61
3,9,0.1,99,0.58
3,9,0.2,0,0.6
3,9,0.2,42,0.6
3,9,0.2,99,0.585
3,9,0.3,0,0.5933333333333334
3,9,0.3,42,0.58
3,9,0.3,99,0.5533333333333333
3,9,0.4,0,0.585
3,9,0.4,42,0.5875
3,9,0.4,99,0.58
3,10,0.1,0,0.62
3,10,0.1,42,0.61
3,10,0.1,99,0.57
3,10,0.2,0,0.59
3,10,0.2,42,0.62
3,10,0.2,99,0.595
3,10,0.3,0,0.59
3,10,0.3,42,0.6
3,10,0.3,99,0.5666666666666667
3,10,0.4,0,0.58
3,10,0.4,42,0.59
3,10,0.4,99,0.565
3,11,0.1,0,0.61
3,11,0.1,42,0.61
3,11,0.1,99,0.61
3,11,0.2,0,0.575
3,11,0.2,42,0.62
3,11,0.2,99,0.585
3,11,0.3,0,0.5766666666666667
3,11,0.3,42,0.6066666666666667
3,11,0.3,99,0.5633333333333334
3,11,0.4,0,0.58
3,11,0.4,42,0.5975
3,11,0.4,99,0.5825
3,12,0.1,0,0.59
3,12,0.1,42,0.59
3,12,0.1,99,0.58
3,12,0.2,0,0.58
3,12,0.2,42,0.615
3,12,0.2,99,0.585
3,12,0.3,0,0.5833333333333334
3,12,0.3,42,0.5966666666666667
3,12,0.3,99,0.5566666666666666
3,12,0.4,0,0.565
3,12,0.4,42,0.5925
3,12,0.4,99,0.5625
3,13,0.1,0,0.59
3,13,0.1,42,0.58
3,13,0.1,99,0.57
3,13,0.2,0,0.575
3,13,0.2,42,0.625
3,13,0.2,99,0.615
3,13,0.3,0,0.5733333333333334
3,13,0.3,42,0.5966666666666667
3,13,0.3,99,0.56
3,13,0.4,0,0.57
3,13,0.4,42,0.6025
3,13,0.4,99,0.5525
3,14,0.1,0,0.57
3,14,0.1,42,0.56
3,14,0.1,99,0.56
3,14,0.2,0,0.565
3,14,0.2,42,0.6
3,14,0.2,99,0.6
3,14,0.3,0,0.5433333333333333
3,14,0.3,42,0.6033333333333334
3,14,0.3,99,0.55
3,14,0.4,0,0.5675
3,14,0.4,42,0.58
3,14,0.4,99,0.5575
3,15,0.1,0,0.54
3,15,0.1,42,0.58
3,15,0.1,99,0.58
3,15,0.2,0,0.565
3,15,0.2,42,0.585
3,15,0.2,99,0.61
3,15,0.3,0,0.56
3,15,0.3,42,0.6
3,15,0.3,99,0.5333333333333333
3,15,0.4,0,0.5675
3,15,0.4,42,0.585
3,15,0.4,99,0.5725
3,16,0.1,0,0.54
3,16,0.1,42,0.61
3,16,0.1,99,0.56
3,16,0.2,0,0.575
3,16,0.2,42,0.61
3,16,0.2,99,0.59
3,16,0.3,0,0.5566666666666666
3,16,0.3,42,0.6066666666666667
3,16,0.3,99,0.5333333333333333
3,16,0.4,0,0.5625
3,16,0.4,42,0.565
3,16,0.4,99,0.5725
3,17,0.1,0,0.53
3,17,0.1,42,0.61
3,17,0.1,99,0.56
3,17,0.2,0,0.555
3,17,0.2,42,0.615
3,17,0.2,99,0.59
3,17,0.3,0,0.5566666666666666
3,17,0.3,42,0.5933333333333334
3,17,0.3,99,0.55
3,17,0.4,0,0.5675
3,17,0.4,42,0.5625
3,17,0.4,99,0.55
3,18,0.1,0,0.56
3,18,0.1,42,0.58
